road_segment,road_category,day_of_week,hour_of_day,current_speed,avg_speed_last_15min,avg_speed_last_30min,weather_condition,is_peak_hour,future_speedband
Bukit Timah Expressway,Y,3,5,69.9,69.0,69.1,Clear,0,7
Clementi Avenue 3,C,2,22,35.3,31.2,28.4,Drizzle,0,4
Tampines Expressway,Y,1,14,54.0,55.7,51.6,Rain,0,6
Bedok North Avenue 3,C,3,9,14.9,18.6,12.0,Mist,1,3
Clementi Avenue 3,C,5,9,36.9,35.9,41.7,Haze,0,4
Bukit Timah Expressway,Y,6,5,69.8,69.7,71.2,Haze,0,7
Bedok North Avenue 3,C,3,16,33.0,34.7,35.2,Mist,0,4
Bukit Timah Expressway,Y,1,23,62.8,63.9,62.7,Drizzle,0,6
Kallang Paya Lebar Expressway,Y,6,9,71.6,70.2,71.9,Clouds,0,8
Clementi Avenue 3,C,5,12,35.8,33.7,42.8,Haze,0,4
Central Expressway,Y,1,22,70.8,73.7,69.8,Clear,0,7
Bukit Timah Expressway,Y,6,17,43.7,44.1,43.4,Thunderstorm,0,5
Nicoll Highway,B,5,8,55.0,60.1,48.2,Clear,0,6
Clementi Avenue 3,C,1,5,33.7,37.8,39.8,Haze,0,4
Nicoll Highway,B,4,0,28.9,27.8,34.6,Thunderstorm,0,4
East Coast Parkway,Y,0,9,14.5,20.2,16.6,Thunderstorm,1,2
Nicoll Highway,B,1,12,46.5,42.0,50.2,Mist,0,5
Kallang Paya Lebar Expressway,Y,0,21,60.6,62.7,51.7,Drizzle,0,7
Bedok North Avenue 3,C,1,3,35.0,30.0,35.7,Clear,0,4
Kallang Paya Lebar Expressway,Y,4,9,49.0,51.4,55.5,Haze,1,6
Bukit Timah Expressway,Y,1,23,46.0,47.4,40.1,Thunderstorm,0,5
Tampines Expressway,Y,2,14,75.2,71.7,82.8,Clouds,0,8
Clementi Avenue 3,C,0,16,20.9,23.6,18.3,Thunderstorm,0,2
Tampines Avenue 10,B,4,8,19.8,16.7,21.1,Rain,1,2
Pan Island Expressway,Y,5,10,54.1,51.1,62.0,Rain,0,6
Nicoll Highway,B,0,9,21.2,20.7,24.8,Rain,1,2
Orchard Road,B,6,17,41.2,40.9,36.9,Mist,0,5
Tampines Avenue 10,B,5,11,34.9,37.9,24.9,Rain,0,4
Upper Thomson Road,B,1,23,24.3,27.5,23.5,Thunderstorm,0,3
Seletar Expressway,Y,1,15,77.0,79.7,78.6,Clouds,0,8
Central Expressway,Y,5,15,48.1,50.8,41.0,Rain,0,5
Orchard Road,B,6,17,45.0,49.0,39.1,Clear,0,4
Clementi Avenue 3,C,1,23,32.5,25.8,30.7,Rain,0,4
Pan Island Expressway,Y,6,20,66.0,67.5,57.6,Drizzle,0,6
Clementi Avenue 3,C,1,4,30.7,30.5,22.9,Drizzle,0,4
Pan Island Expressway,Y,4,18,34.2,35.2,27.5,Rain,1,4
Central Expressway,Y,3,17,43.4,37.4,40.4,Haze,1,5
Upper Thomson Road,B,4,11,50.0,48.0,38.8,Clouds,0,5
Orchard Road,B,5,10,40.9,40.9,45.4,Haze,0,4
East Coast Parkway,Y,0,22,64.4,64.7,58.7,Mist,0,7
Woodlands Avenue 12,B,0,18,27.5,32.2,22.4,Haze,1,3
Woodlands Avenue 12,B,6,23,38.2,36.3,35.3,Mist,0,4
Tampines Avenue 10,B,5,2,40.2,41.8,36.6,Haze,0,5
Bedok North Avenue 3,C,3,0,29.0,32.5,32.8,Rain,0,4
Ayer Rajah Expressway,Y,1,5,69.2,72.9,63.4,Mist,0,7
East Coast Parkway,Y,1,9,52.7,50.5,46.2,Haze,1,6
Ayer Rajah Expressway,Y,1,11,70.5,68.3,69.9,Mist,0,8
Central Expressway,Y,4,14,42.3,45.1,46.8,Thunderstorm,0,5
East Coast Parkway,Y,3,11,75.2,78.4,72.3,Haze,0,8
Ayer Rajah Expressway,Y,6,9,72.7,71.9,71.3,Clear,0,8
Clementi Avenue 3,C,0,15,34.2,29.5,28.2,Haze,0,4
Tampines Avenue 10,B,3,20,12.4,15.6,10.2,Rain,1,2
Bedok North Avenue 3,C,5,4,24.3,25.6,26.9,Rain,0,2
Ayer Rajah Expressway,Y,3,3,72.1,71.2,76.8,Clouds,0,7
Bedok North Avenue 3,C,0,14,18.7,19.9,8.8,Thunderstorm,0,2
Nicoll Highway,B,0,13,35.7,37.5,40.5,Rain,0,4
Pan Island Expressway,Y,0,9,11.9,10.7,11.4,Thunderstorm,1,1
Clementi Avenue 3,C,1,16,36.9,40.1,39.9,Mist,0,4
Ayer Rajah Expressway,Y,0,15,54.7,51.5,56.8,Rain,0,6
Pan Island Expressway,Y,1,21,74.0,71.8,79.5,Mist,0,8
Pan Island Expressway,Y,1,8,53.8,57.2,58.4,Clouds,1,5
Tampines Avenue 10,B,6,21,30.6,30.4,36.6,Rain,0,3
Central Expressway,Y,1,17,47.6,45.3,43.2,Clouds,1,5
Upper Thomson Road,B,3,12,22.8,18.9,22.8,Thunderstorm,0,2
Bedok North Avenue 3,C,4,8,5.6,6.4,2.0,Thunderstorm,1,1
Kallang Paya Lebar Expressway,Y,0,1,72.5,62.7,70.3,Haze,0,8
East Coast Parkway,Y,1,16,57.7,53.4,64.1,Rain,0,6
Ayer Rajah Expressway,Y,6,6,49.8,49.1,45.9,Rain,0,5
Seletar Expressway,Y,3,17,42.4,48.3,31.3,Drizzle,1,5
Tampines Expressway,Y,4,19,47.5,45.3,50.6,Clouds,1,4
Seletar Expressway,Y,2,21,68.6,72.5,84.8,Haze,0,8
Nicoll Highway,B,6,13,27.7,27.5,31.7,Thunderstorm,0,3
Tampines Expressway,Y,5,13,64.5,71.6,56.8,Haze,0,6
Central Expressway,Y,4,17,19.4,16.9,21.6,Thunderstorm,1,2
Kallang Paya Lebar Expressway,Y,1,21,62.8,59.0,56.1,Haze,0,7
Kallang Paya Lebar Expressway,Y,3,16,68.8,71.1,68.8,Clouds,0,7
Clementi Avenue 3,C,3,17,29.3,29.3,34.5,Clouds,1,3
Bukit Timah Expressway,Y,5,21,65.2,63.3,65.4,Haze,0,7
Nicoll Highway,B,6,2,35.5,32.4,34.3,Rain,0,4
Pan Island Expressway,Y,3,23,39.4,41.8,30.0,Thunderstorm,0,4
East Coast Parkway,Y,1,23,76.0,70.4,76.8,Clear,0,8
Bedok North Avenue 3,C,3,12,18.2,18.4,13.8,Thunderstorm,0,2
Central Expressway,Y,4,8,45.5,44.1,44.7,Clear,1,5
Kallang Paya Lebar Expressway,Y,5,15,37.3,36.2,38.0,Thunderstorm,0,4
Pan Island Expressway,Y,2,10,34.8,33.7,32.0,Thunderstorm,0,5
Upper Thomson Road,B,1,17,38.2,36.2,44.6,Clear,1,5
Ayer Rajah Expressway,Y,6,18,57.9,55.9,57.0,Rain,0,7
East Coast Parkway,Y,1,4,59.2,59.5,63.7,Rain,0,7
Woodlands Avenue 12,B,5,4,34.3,42.3,26.6,Drizzle,0,4
East Coast Parkway,Y,6,15,38.4,38.3,34.2,Thunderstorm,0,5
Pan Island Expressway,Y,5,17,73.0,68.3,80.6,Clouds,0,7
Tampines Expressway,Y,3,15,76.4,73.4,75.4,Haze,0,8
Woodlands Avenue 12,B,4,19,13.1,12.1,12.0,Rain,1,2
Bedok North Avenue 3,C,5,11,31.3,27.4,26.9,Haze,0,3
Tampines Expressway,Y,3,16,76.1,73.8,71.6,Clouds,0,8
Upper Thomson Road,B,2,18,26.7,22.9,33.2,Drizzle,1,3
Nicoll Highway,B,3,6,49.6,48.7,60.0,Haze,0,6
East Coast Parkway,Y,3,9,17.8,22.7,19.8,Thunderstorm,1,2
Bedok North Avenue 3,C,3,20,20.0,15.8,16.2,Clear,1,2
Clementi Avenue 3,C,6,13,37.3,36.5,30.8,Clear,0,4
Upper Thomson Road,B,1,23,47.8,48.2,45.7,Clear,0,5
Kallang Paya Lebar Expressway,Y,4,19,20.8,20.8,11.7,Thunderstorm,1,3
Upper Thomson Road,B,4,20,40.7,37.5,30.6,Clear,1,4
Bedok North Avenue 3,C,0,5,32.5,32.0,32.3,Mist,0,4
Seletar Expressway,Y,0,1,66.5,58.0,69.7,Clouds,0,7
Kallang Paya Lebar Expressway,Y,0,13,63.9,65.8,62.7,Drizzle,0,7
Upper Thomson Road,B,1,22,46.0,41.4,40.9,Clear,0,4
Nicoll Highway,B,5,5,53.3,54.5,49.5,Clear,0,6
Woodlands Avenue 12,B,6,15,41.3,36.4,37.2,Clouds,0,4
Kallang Paya Lebar Expressway,Y,1,2,66.5,68.3,63.1,Mist,0,7
Seletar Expressway,Y,5,5,42.8,42.8,36.5,Thunderstorm,0,5
Upper Thomson Road,B,5,2,47.9,42.0,46.7,Clouds,0,5
Woodlands Avenue 12,B,1,9,33.1,37.1,27.9,Clear,1,3
Bukit Timah Expressway,Y,1,1,42.8,42.6,43.1,Thunderstorm,0,5
Seletar Expressway,Y,2,4,66.1,65.9,74.1,Haze,0,7
Clementi Avenue 3,C,4,10,27.4,27.7,32.2,Rain,0,4
Clementi Avenue 3,C,6,17,14.7,16.7,18.6,Thunderstorm,0,3
Kallang Paya Lebar Expressway,Y,5,5,39.0,39.9,36.2,Thunderstorm,0,4
Seletar Expressway,Y,0,0,60.0,60.6,66.0,Drizzle,0,7
Woodlands Avenue 12,B,1,14,23.9,23.9,20.0,Thunderstorm,0,3
Clementi Avenue 3,C,6,10,40.0,41.5,43.9,Clear,0,4
Seletar Expressway,Y,1,19,33.7,38.6,37.4,Drizzle,1,4
Orchard Road,B,1,17,20.4,24.1,20.2,Haze,1,3
Clementi Avenue 3,C,2,13,33.2,36.1,36.5,Haze,0,4
Seletar Expressway,Y,4,17,51.0,49.3,53.1,Clouds,1,6
Nicoll Highway,B,2,2,50.0,53.4,46.2,Haze,0,5
Tampines Expressway,Y,2,2,61.1,64.2,64.2,Drizzle,0,8
Ayer Rajah Expressway,Y,5,15,73.7,78.9,71.0,Haze,0,8
Central Expressway,Y,1,21,70.1,69.5,66.6,Clouds,0,7
Nicoll Highway,B,4,18,33.5,36.0,24.6,Clouds,1,4
Ayer Rajah Expressway,Y,6,0,48.3,50.7,45.6,Rain,0,5
East Coast Parkway,Y,0,10,77.8,78.1,71.7,Clear,0,8
Orchard Road,B,0,8,25.7,28.6,34.8,Clear,1,4
Orchard Road,B,4,15,35.5,33.1,35.5,Drizzle,0,4
Clementi Avenue 3,C,2,23,36.1,41.2,32.1,Clear,0,5
Orchard Road,B,2,7,22.9,26.2,27.5,Drizzle,1,2
Clementi Avenue 3,C,1,8,28.1,31.6,25.7,Clouds,1,4
Seletar Expressway,Y,2,9,34.6,29.1,34.0,Clouds,1,4
Central Expressway,Y,2,22,73.6,74.2,78.6,Clouds,0,8
Woodlands Avenue 12,B,5,7,38.6,38.0,41.5,Clouds,0,4
East Coast Parkway,Y,3,13,42.8,37.2,44.5,Thunderstorm,0,4
Clementi Avenue 3,C,2,12,25.7,20.6,26.3,Rain,0,3
Woodlands Avenue 12,B,0,16,37.1,35.8,30.5,Haze,0,4
Upper Thomson Road,B,6,9,49.2,44.9,47.3,Clear,0,5
Tampines Expressway,Y,4,22,42.3,40.3,40.4,Thunderstorm,0,5
Kallang Paya Lebar Expressway,Y,2,19,46.0,43.9,49.7,Drizzle,1,6
Seletar Expressway,Y,6,5,57.5,55.8,60.3,Rain,0,6
Clementi Avenue 3,C,1,11,35.5,36.0,26.1,Clouds,0,4
Tampines Avenue 10,B,6,23,48.0,49.2,42.0,Clear,0,5
Nicoll Highway,B,0,6,27.7,24.6,17.4,Thunderstorm,0,3
Nicoll Highway,B,3,20,32.1,33.5,24.3,Drizzle,1,3
Pan Island Expressway,Y,3,5,77.0,75.1,77.4,Clear,0,8
Clementi Avenue 3,C,1,9,20.3,16.3,21.6,Clear,1,3
Tampines Expressway,Y,3,16,64.3,68.0,58.1,Mist,0,7
Clementi Avenue 3,C,1,22,27.9,25.0,19.7,Rain,0,3
Tampines Expressway,Y,1,8,51.2,52.9,55.6,Clear,1,6
Ayer Rajah Expressway,Y,0,13,70.5,72.4,69.2,Clouds,0,8
Bedok North Avenue 3,C,1,3,32.3,27.9,35.1,Haze,0,3
Kallang Paya Lebar Expressway,Y,3,17,49.9,48.7,55.7,Clear,1,5
Seletar Expressway,Y,5,2,66.7,71.9,69.9,Clear,0,8
Upper Thomson Road,B,1,11,45.9,49.1,45.5,Drizzle,0,5
Tampines Avenue 10,B,6,18,27.2,30.5,26.4,Thunderstorm,0,2
Woodlands Avenue 12,B,0,8,31.9,28.8,25.5,Clouds,1,4
Pan Island Expressway,Y,3,0,46.8,47.7,50.4,Thunderstorm,0,6
Tampines Avenue 10,B,3,17,19.9,24.8,19.6,Mist,1,3
Kallang Paya Lebar Expressway,Y,4,6,55.9,58.6,48.5,Drizzle,0,6
Woodlands Avenue 12,B,2,0,33.3,35.6,37.6,Drizzle,0,4
Nicoll Highway,B,4,22,54.6,57.3,48.8,Clear,0,6
Central Expressway,Y,1,9,50.2,48.6,48.7,Haze,1,5
Nicoll Highway,B,5,10,44.6,50.9,40.9,Drizzle,0,4
Nicoll Highway,B,2,8,14.9,19.5,17.4,Thunderstorm,1,3
Upper Thomson Road,B,1,20,11.4,13.0,10.9,Thunderstorm,1,2
Tampines Expressway,Y,3,3,56.0,52.3,52.0,Rain,0,6
Kallang Paya Lebar Expressway,Y,6,10,67.9,65.2,71.3,Mist,0,7
Kallang Paya Lebar Expressway,Y,0,12,42.9,44.0,34.1,Thunderstorm,0,4
Orchard Road,B,1,17,22.1,17.4,21.0,Haze,1,3
Tampines Avenue 10,B,6,5,30.8,25.5,26.2,Rain,0,3
Ayer Rajah Expressway,Y,5,9,67.1,70.3,65.3,Haze,0,8
Clementi Avenue 3,C,0,7,18.7,19.6,9.2,Haze,1,2
Woodlands Avenue 12,B,3,13,34.8,34.3,31.2,Mist,0,4
Nicoll Highway,B,1,11,46.2,43.2,44.4,Mist,0,5
Tampines Avenue 10,B,3,1,28.3,32.0,35.2,Thunderstorm,0,4
Nicoll Highway,B,3,2,55.0,52.0,54.7,Clear,0,6
Orchard Road,B,3,16,39.8,40.1,36.8,Clear,0,4
Nicoll Highway,B,4,3,32.4,34.7,36.2,Thunderstorm,0,4
Orchard Road,B,1,1,34.6,31.9,31.0,Rain,0,4
Woodlands Avenue 12,B,0,5,23.4,22.0,22.3,Thunderstorm,0,3
Tampines Avenue 10,B,1,3,43.5,46.7,33.0,Clear,0,5
Seletar Expressway,Y,6,4,65.8,69.0,67.5,Mist,0,7
Upper Thomson Road,B,2,10,39.1,37.9,52.6,Mist,0,4
Bukit Timah Expressway,Y,1,5,68.4,66.6,68.1,Haze,0,7
Tampines Expressway,Y,6,13,50.1,47.7,48.9,Thunderstorm,0,6
Clementi Avenue 3,C,2,18,24.4,25.5,25.9,Haze,1,3
Tampines Avenue 10,B,6,23,25.5,25.5,20.8,Thunderstorm,0,3
Woodlands Avenue 12,B,2,11,38.3,39.1,45.2,Clouds,0,4
Bedok North Avenue 3,C,3,11,35.9,39.5,38.5,Clear,0,4
Nicoll Highway,B,5,6,27.7,20.7,27.9,Thunderstorm,0,3
Clementi Avenue 3,C,1,22,32.7,35.7,35.6,Rain,0,4
Orchard Road,B,1,8,23.6,25.3,23.3,Mist,1,2
Bedok North Avenue 3,C,2,0,34.6,36.5,32.1,Clear,0,4
Kallang Paya Lebar Expressway,Y,4,1,74.0,71.8,59.4,Clouds,0,8
Tampines Expressway,Y,2,10,71.3,71.8,77.7,Haze,0,8
Nicoll Highway,B,2,17,32.4,31.6,33.3,Drizzle,1,4
Bukit Timah Expressway,Y,1,11,71.4,75.2,64.6,Haze,0,7
Ayer Rajah Expressway,Y,3,12,45.3,46.8,44.5,Rain,0,5
East Coast Parkway,Y,3,1,69.7,69.9,73.0,Drizzle,0,8
Clementi Avenue 3,C,1,10,24.9,21.3,31.4,Thunderstorm,0,3
Upper Thomson Road,B,2,9,22.2,24.7,22.9,Drizzle,1,2
East Coast Parkway,Y,6,9,70.3,68.9,78.3,Mist,0,7
Upper Thomson Road,B,6,13,50.0,50.4,46.0,Clear,0,5
Nicoll Highway,B,2,11,50.7,50.4,55.8,Clouds,0,6
Bukit Timah Expressway,Y,6,22,57.6,62.6,57.8,Drizzle,0,6
Bukit Timah Expressway,Y,0,9,16.6,14.8,27.5,Thunderstorm,1,2
Orchard Road,B,3,13,37.3,35.6,47.1,Haze,0,5
Upper Thomson Road,B,6,7,45.5,47.9,50.1,Clouds,0,5
Nicoll Highway,B,6,7,39.3,40.4,39.6,Rain,0,5
Bedok North Avenue 3,C,3,19,14.0,12.9,20.5,Rain,1,2
Upper Thomson Road,B,6,6,42.5,46.1,41.8,Drizzle,0,4
Orchard Road,B,1,18,29.9,28.0,24.4,Haze,1,4
Tampines Avenue 10,B,4,19,34.2,37.8,39.4,Clouds,1,4
Upper Thomson Road,B,3,10,48.0,46.1,43.2,Clear,0,5
East Coast Parkway,Y,4,20,46.2,48.5,45.2,Mist,1,5
Bukit Timah Expressway,Y,0,14,51.9,51.2,50.7,Rain,0,5
Clementi Avenue 3,C,0,13,36.8,35.3,42.0,Clouds,0,4
Kallang Paya Lebar Expressway,Y,5,4,49.2,48.4,50.7,Rain,0,6
Pan Island Expressway,Y,2,6,72.1,77.1,69.4,Clouds,0,8
Tampines Expressway,Y,0,21,61.4,66.6,62.0,Mist,0,7
Seletar Expressway,Y,6,9,57.8,57.2,60.7,Drizzle,0,6
Nicoll Highway,B,6,12,49.1,48.3,45.9,Mist,0,5
Woodlands Avenue 12,B,3,4,24.8,27.2,22.1,Thunderstorm,0,3
Upper Thomson Road,B,6,16,49.4,50.3,43.5,Clouds,0,6
Orchard Road,B,1,19,28.1,30.1,25.4,Mist,1,3
Tampines Avenue 10,B,0,11,44.7,38.3,45.4,Haze,0,5
Clementi Avenue 3,C,0,3,34.3,30.4,33.7,Mist,0,4
Ayer Rajah Expressway,Y,2,13,70.9,67.0,66.1,Clouds,0,8
Kallang Paya Lebar Expressway,Y,3,14,53.2,51.5,54.1,Rain,0,5
Clementi Avenue 3,C,0,16,27.3,25.6,26.4,Drizzle,0,4
Woodlands Avenue 12,B,6,2,39.7,40.1,32.3,Haze,0,4
Bedok North Avenue 3,C,6,10,18.0,20.3,15.2,Thunderstorm,0,3
Woodlands Avenue 12,B,0,17,26.3,26.5,17.5,Drizzle,1,3
Pan Island Expressway,Y,4,21,70.1,69.6,72.3,Clouds,0,8
Ayer Rajah Expressway,Y,1,17,7.5,10.1,12.4,Thunderstorm,1,2
Orchard Road,B,3,18,25.7,24.7,28.2,Drizzle,1,3
East Coast Parkway,Y,5,23,38.1,37.7,43.5,Thunderstorm,0,5
Pan Island Expressway,Y,5,11,75.3,78.5,77.7,Clouds,0,7
Central Expressway,Y,5,20,46.4,51.7,50.6,Rain,0,6
East Coast Parkway,Y,5,23,45.9,50.0,47.5,Thunderstorm,0,5
Clementi Avenue 3,C,2,11,30.7,29.9,34.9,Drizzle,0,4
East Coast Parkway,Y,2,14,42.5,38.6,47.3,Thunderstorm,0,4
Tampines Avenue 10,B,0,0,44.6,47.9,41.2,Mist,0,5
Seletar Expressway,Y,4,22,49.0,50.3,53.8,Rain,0,5
Bedok North Avenue 3,C,6,2,30.4,32.6,27.7,Drizzle,0,4
Woodlands Avenue 12,B,3,10,33.6,31.8,37.2,Rain,0,4
Pan Island Expressway,Y,6,22,69.2,74.7,66.0,Drizzle,0,7
Ayer Rajah Expressway,Y,2,23,48.1,46.1,50.8,Rain,0,5
Bukit Timah Expressway,Y,3,22,50.8,51.3,53.4,Rain,0,6
Kallang Paya Lebar Expressway,Y,3,6,37.8,34.9,33.7,Thunderstorm,0,4
Seletar Expressway,Y,5,3,64.0,54.6,63.3,Clouds,0,8
Tampines Avenue 10,B,4,13,40.6,37.0,39.5,Mist,0,4
Ayer Rajah Expressway,Y,1,19,52.4,48.4,44.9,Haze,1,6
Orchard Road,B,5,8,25.2,23.5,28.6,Thunderstorm,0,3
East Coast Parkway,Y,4,12,54.1,50.1,56.9,Rain,0,6
Nicoll Highway,B,3,5,43.9,46.0,51.4,Mist,0,5
Kallang Paya Lebar Expressway,Y,4,23,74.2,73.6,68.2,Clouds,0,8
Kallang Paya Lebar Expressway,Y,3,23,65.9,71.4,64.3,Mist,0,7
Upper Thomson Road,B,0,8,22.9,19.2,21.0,Rain,1,2
Bedok North Avenue 3,C,1,5,33.3,31.6,30.9,Mist,0,3
Orchard Road,B,2,5,44.7,43.0,44.0,Clouds,0,5
Kallang Paya Lebar Expressway,Y,0,20,57.6,56.4,58.8,Clear,1,7
Clementi Avenue 3,C,1,15,33.9,31.4,40.6,Mist,0,4
Bukit Timah Expressway,Y,3,20,9.2,8.5,6.7,Thunderstorm,1,2
Tampines Expressway,Y,4,16,80.0,77.5,76.4,Clear,0,8
Bedok North Avenue 3,C,1,4,34.4,41.6,34.0,Haze,0,4
Clementi Avenue 3,C,5,10,38.4,35.0,40.2,Clear,0,4
Upper Thomson Road,B,0,13,39.0,41.2,24.6,Haze,0,5
Ayer Rajah Expressway,Y,6,18,76.5,70.9,74.7,Clear,0,8
Clementi Avenue 3,C,3,21,37.1,39.2,32.5,Haze,0,4
Clementi Avenue 3,C,2,16,40.0,38.9,39.5,Clear,0,5
Seletar Expressway,Y,5,18,69.4,69.4,65.5,Clouds,0,7
Tampines Avenue 10,B,1,17,32.6,35.9,33.0,Clouds,1,4
Ayer Rajah Expressway,Y,2,18,50.8,54.2,44.8,Mist,1,6
Tampines Avenue 10,B,5,16,38.3,37.3,33.4,Drizzle,0,5
Bukit Timah Expressway,Y,2,9,42.5,43.7,46.2,Clear,1,4
Tampines Expressway,Y,2,15,35.2,36.7,45.1,Thunderstorm,0,3
East Coast Parkway,Y,5,16,79.7,79.8,79.4,Clear,0,8
Woodlands Avenue 12,B,1,14,43.6,41.7,51.6,Clear,0,5
Woodlands Avenue 12,B,3,12,34.5,30.4,42.6,Drizzle,0,5
Seletar Expressway,Y,0,7,49.6,47.5,37.8,Clouds,1,6
Woodlands Avenue 12,B,3,17,22.9,16.7,23.0,Mist,1,3
Nicoll Highway,B,4,12,51.9,57.4,61.3,Clear,0,6
Bedok North Avenue 3,C,4,11,20.9,22.3,23.6,Rain,0,3
Bedok North Avenue 3,C,0,11,31.9,30.0,33.3,Drizzle,0,4
Seletar Expressway,Y,6,13,67.6,68.5,69.7,Clear,0,8
Pan Island Expressway,Y,2,1,72.5,72.0,78.2,Clouds,0,8
East Coast Parkway,Y,3,12,49.3,47.9,56.4,Thunderstorm,0,5
Central Expressway,Y,2,20,47.6,55.4,43.9,Clouds,1,6
Clementi Avenue 3,C,6,17,32.6,33.5,37.4,Haze,0,4
East Coast Parkway,Y,3,6,37.6,38.4,30.6,Thunderstorm,0,4
Kallang Paya Lebar Expressway,Y,6,2,71.5,73.8,64.2,Clouds,0,8
Kallang Paya Lebar Expressway,Y,6,12,55.0,56.2,52.4,Drizzle,0,6
Bedok North Avenue 3,C,6,14,31.1,35.7,32.6,Haze,0,2
Bukit Timah Expressway,Y,3,12,54.5,56.7,52.4,Rain,0,5
Nicoll Highway,B,0,17,27.3,25.9,25.2,Rain,1,3
Kallang Paya Lebar Expressway,Y,0,11,73.4,76.9,82.6,Clouds,0,8
Woodlands Avenue 12,B,4,21,33.0,35.5,36.1,Rain,0,4
Orchard Road,B,1,4,34.7,32.1,31.3,Mist,0,4
Central Expressway,Y,0,14,61.3,62.6,59.8,Drizzle,0,6
Tampines Avenue 10,B,2,3,43.2,40.9,34.9,Clouds,0,4
Nicoll Highway,B,5,20,42.9,42.1,53.6,Drizzle,0,5
Woodlands Avenue 12,B,5,3,23.6,21.3,16.7,Thunderstorm,0,3
Central Expressway,Y,0,3,73.7,74.9,65.7,Clouds,0,8
Tampines Avenue 10,B,2,22,37.3,46.9,32.7,Mist,0,5
Tampines Expressway,Y,6,3,73.1,72.2,78.6,Mist,0,8
East Coast Parkway,Y,4,12,54.8,56.7,61.9,Rain,0,6
Orchard Road,B,5,1,40.0,39.7,42.8,Clouds,0,4
Seletar Expressway,Y,4,23,60.0,63.6,57.8,Mist,0,6
Clementi Avenue 3,C,0,11,38.4,37.1,33.3,Clear,0,4
Tampines Expressway,Y,2,9,42.8,45.7,44.3,Mist,1,5
Woodlands Avenue 12,B,4,19,24.8,30.1,20.2,Mist,1,3
Tampines Avenue 10,B,0,22,34.3,35.2,36.6,Rain,0,4
Woodlands Avenue 12,B,2,16,35.6,34.7,33.8,Clouds,0,4
Clementi Avenue 3,C,6,11,27.8,23.7,28.1,Rain,0,3
Nicoll Highway,B,2,23,48.8,46.4,46.9,Clouds,0,6
Kallang Paya Lebar Expressway,Y,3,13,64.3,63.3,63.2,Clouds,0,7
Nicoll Highway,B,1,17,33.1,35.6,24.6,Clear,1,3
East Coast Parkway,Y,3,11,82.0,80.0,79.2,Clouds,0,8
Clementi Avenue 3,C,4,8,22.7,21.9,20.7,Mist,1,3
Pan Island Expressway,Y,3,13,75.6,79.9,67.5,Haze,0,8
Bedok North Avenue 3,C,2,20,7.5,6.8,3.5,Thunderstorm,1,1
Clementi Avenue 3,C,1,10,29.3,25.6,31.6,Mist,0,3
Nicoll Highway,B,4,8,40.7,38.8,41.6,Clear,1,4
Bedok North Avenue 3,C,6,20,35.1,29.7,28.9,Drizzle,0,4
East Coast Parkway,Y,2,21,73.4,73.6,70.1,Clouds,0,8
Tampines Avenue 10,B,1,20,30.3,27.4,36.3,Clear,1,3
Central Expressway,Y,5,2,60.8,61.9,62.4,Drizzle,0,6
Bukit Timah Expressway,Y,6,8,74.1,71.2,79.5,Clouds,0,7
Woodlands Avenue 12,B,0,19,5.5,3.7,8.1,Thunderstorm,1,1
Pan Island Expressway,Y,1,5,56.4,54.9,50.4,Rain,0,6
Tampines Expressway,Y,2,17,47.2,45.3,51.8,Haze,1,5
Seletar Expressway,Y,2,8,33.7,29.6,29.0,Drizzle,1,4
East Coast Parkway,Y,6,8,35.1,33.3,30.7,Thunderstorm,0,4
Nicoll Highway,B,1,17,27.3,24.2,32.7,Drizzle,1,3
Central Expressway,Y,2,18,30.9,34.1,31.3,Rain,1,3
Woodlands Avenue 12,B,6,10,39.2,33.3,35.0,Drizzle,0,4
Tampines Expressway,Y,2,15,42.0,42.8,44.4,Thunderstorm,0,4
Woodlands Avenue 12,B,6,12,38.7,37.5,44.4,Mist,0,4
Pan Island Expressway,Y,5,10,74.9,76.3,63.4,Clear,0,8
Woodlands Avenue 12,B,4,8,26.4,20.4,23.6,Clear,1,4
Pan Island Expressway,Y,0,13,74.2,72.3,81.3,Clear,0,8
Bukit Timah Expressway,Y,0,4,32.1,26.8,26.5,Thunderstorm,0,3
Bedok North Avenue 3,C,1,17,21.5,20.7,20.7,Drizzle,1,3
Woodlands Avenue 12,B,1,3,43.8,46.5,38.4,Drizzle,0,5
Kallang Paya Lebar Expressway,Y,5,16,35.5,38.5,38.0,Thunderstorm,0,4
Bukit Timah Expressway,Y,6,3,68.2,68.0,67.6,Clear,0,8
Tampines Avenue 10,B,1,12,38.6,39.7,38.4,Drizzle,0,5
Clementi Avenue 3,C,0,22,36.6,35.0,37.5,Drizzle,0,4
Pan Island Expressway,Y,4,7,11.7,11.7,9.6,Thunderstorm,1,2
Pan Island Expressway,Y,6,17,40.3,38.8,40.8,Thunderstorm,0,5
Nicoll Highway,B,6,17,32.0,32.3,26.5,Thunderstorm,0,3
Orchard Road,B,6,11,42.7,44.4,44.3,Haze,0,5
Bedok North Avenue 3,C,6,10,34.5,33.6,36.9,Clear,0,4
Bedok North Avenue 3,C,4,4,25.1,23.3,31.5,Rain,0,3
Bukit Timah Expressway,Y,4,20,49.7,50.0,50.8,Clouds,1,6
Woodlands Avenue 12,B,4,12,22.5,23.1,25.3,Thunderstorm,0,3
